"","site","provenience","group.prov","site.prov","C14.mean","C14.sd","C14.cv","uncal.date.bp","lab.num","attribution","material","calib.curve"
"66","Altamira","7 inf.","7 inf.","Altamira 7 inf.",19630,80,0.004,"19630±80","GrA-32761","Solutrean","shell","marine13"
"67","Altamira","7 med.","7 med.","Altamira 7 med.",19060,90,0.005,"19060±90","GrA-30325","Solutrean","shell","marine13"
"68","Altamira","7 sup.","7 sup.","Altamira 7 sup.",18750,100,0.005,"18750±100","GrA-30324","Solutrean","shell","marine13"
"69","Altamira","8","8","Altamira 8",21910,90,0.004,"21910±90","GrA-32765","Gravetian","shell","marine13"
"70","Altamira","8","8","Altamira 8",21930,100,0.005,"21930±100","GrA-27739","Gravetian","shell","marine13"
"71","Altamira","D","D","Altamira D",14250,180,0.013,"14250±180","GifA-91330","Magdalenian","humic acid","intcal13"
"72","Altamira","D","D","Altamira D",14330,190,0.013,"14330±190","GifA-91181","Magdalenian","pigm't bison 33","intcal13"
"73","Altamira","D","D","Altamira D",14820,130,0.009,"14820±130","GifA-96071","Magdalenian","pigm't bison 33","intcal13"
"74","Altamira","G","G","Altamira G",13130,120,0.009,"13130±120","GifA-96067","Magdalenian","pigm't bison 44","intcal13"
"75","Altamira","G","G","Altamira G",13940,170,0.012,"13940±170","GifA-91179","Magdalenian","pigm't bison 36","intcal13"
"76","Altamira","G","G","Altamira G",14410,200,0.014,"14410±200","GifA-91249","Magdalenian","humic acid sign 57","intcal13"
"77","Altamira","G","G","Altamira G",14480,250,0.017,"14480±250","GifA-90057","Magdalenian","pigm't scapula","intcal13"
"78","Altamira","G","G","Altamira G",14650,140,0.01,"14650±140","GifA-96059","Magdalenian","pigment deer","intcal13"
"79","Altamira","G","G","Altamira G",14710,200,0.014,"14710±200","GifA-91254","Magdalenian","humic acid","intcal13"
"80","Altamira","G","G","Altamira G",14800,150,0.01,"14800±150","GifA-96060","Magdalenian","pigm't bison 36","intcal13"
"81","Altamira","G","G","Altamira G",16480,210,0.013,"16480±210","GifA-96061","Magdalenian","pigment","intcal13"
"82","Altamira","Techo Policromos","Techo Policromos","Altamira Techo Policromos",22110,130,0.006,"22110±130","O-53","Magdalenian","pig't horse","intcal13"
"83","Altamira","Techo Policromos","Techo Policromos","Altamira Techo Policromos",36160,610,0.017,"36160±610","O-50","Magdalenian","pigm't claviform","intcal13"
"84","Amalda","IV","IV","Amalda IV",16090,240,0.015,"16090±240","I-11435","Upper Solutrean","charcoal?","intcal13"
"85","Amalda","IV","IV","Amalda IV",16200,380,0.023,"16200±380","I-11428","Upper Solutrean","charcoal?","intcal13"
"86","Amalda","IV","IV","Amalda IV",17580,440,0.025,"17580±440","I-11355","Upper Solutrean","charcoal?","intcal13"
"87","Amalda","V","V","Amalda V",17880,390,0.022,"17880±390","I-11372","Solutrean/Proto-Magdalenian","charcoal?","intcal13"
"88","Amalda","V/VI","V/VI","Amalda V/VI",19000,340,0.018,"19000±340","I-11663","Solutrean/Proto-Magdalenian","charcoal?","intcal13"
"89","Amalda","VI","VI","Amalda VI",11940,180,0.015,"11940±180","HAR-0260","Gravetian","wood","intcal13"
"90","Amalda","VI","VI","Amalda VI",27400,1100,0.04,"27400±1100","I-11664","Gravetian","bone","intcal13"
"91","Amalda","VI","VI","Amalda VI",27400,1000,0.036,"27400±1000","I-11665","Gravetian","bone","intcal13"
"92","Andrín","conchero","conchero","Andrín conchero",9736,1077,0.111,"9736±1077","AND-1","Mesolithic?","AAR date","intcal13"
"93","Antolinako","Lab","Lab","Antolinako Lab",22640,120,0.005,"22640±120","Beta-233766","Gravetian","bone","intcal13"
