,site,prov,site.prov,area.exc,mean.thick,vol.exc,lvd,total.lithics,total.ret,retouch.freq,period,industry,IGP,Ib/b,elev.modern,dist.coast.modern,dist.coast.lgm,lon,lat
1,Abauntz,E,Abauntz E,NA,NA,NA,NA,NA,334,NA,LM Magdalenian,LM Magdalenian,NA,41.29,593,38.8896443658142,49.4570508962275,-1.64167,43.0133
2,Abittaga,VII,Abittaga VII,NA,NA,NA,NA,NA,60,NA,U Magdalenian,U Magdalenian,NA,3.3,72,2.25147161233427,13.0840231653703,-14.1002383946027,43.3441666666667
3,Agarre,Azilian,Agarre Azilian,NA,NA,NA,NA,NA,NA,NA,Azilian,Azilian,NA,NA,209,5.98529413853038,17.9994238691008,-2.37404055555556,43.2447222222222
4,Aitzbeltz,Azilian,Aitzbeltz Azilian,NA,NA,NA,NA,NA,NA,NA,Azilian,Azilian,NA,NA,544,7.32555489436757,18.4837527933443,-2.34889,43.23139
5,Aitzbitarte I,Azilian,Aitzbitarte I Azilian,NA,NA,NA,NA,NA,122,NA,Azilian,Azilian,NA,50.8,298,6.87392210491998,15.1908811115548,-13.4832939501583,43.2627777777778
6,Aitzbitarte III,entrance – I,Aitzbitarte III entrance – I,14,NA,NA,NA,530,73,0.137735849056604,EUP,EUP,NA,11,298,6.87392210491998,15.1908811115548,-13.4832939501583,43.2627777777778
7,Aitzbitarte III,entrance – II,Aitzbitarte III entrance – II,14,NA,NA,NA,566,94,0.166077738515901,EUP,Solutrean?,NA,5.3,298,6.87392210491998,15.1908811115548,-13.4832939501583,43.2627777777778
8,Aitzbitarte III,entrance – III,Aitzbitarte III entrance – III,14,NA,NA,NA,1645,185,0.112462006079027,EUP,Gravettian/Solutrean?,NA,8.1,298,6.87392210491998,15.1908811115548,-13.4832939501583,43.2627777777778
9,Aitzbitarte III,entrance – IV,Aitzbitarte III entrance – IV,14,NA,NA,NA,1140,97,0.085087719298246,EUP,Gravettian,NA,6.2,298,6.87392210491998,15.1908811115548,-13.4832939501583,43.2627777777778
10,Aitzbitarte III,entrance – Va,Aitzbitarte III entrance – Va,14,NA,NA,NA,975,99,0.101538461538462,EUP,Gravettian,NA,6.1,298,6.87392210491998,15.1908811115548,-0.198966724267056,43.2627777777778
11,Aitzbitarte III,entrance – Vb (base),Aitzbitarte III entrance – Vb (base),14,NA,NA,NA,277,34,0.122743682310469,EUP,late Aurignacian,NA,5.9,298,6.87392210491998,15.1908811115548,-0.198966724267056,43.2627777777778
12,Aitzbitarte III,entrance – Vb (top),Aitzbitarte III entrance – Vb (top),14,NA,NA,NA,1938,234,0.120743034055728,EUP,late Aurignacian,NA,11.5,298,6.87392210491998,15.1908811115548,-0.198966724267056,43.2627777777778
13,Aitzbitarte III,interior – V,Aitzbitarte III interior – V,NA,NA,NA,NA,1586,194,0.122320302648171,EUP,M Gravettian,NA,6.7,298,6.87392210491998,15.1908811115548,-0.198966724267056,43.2627777777778
14,Aitzbitarte III,interior – VI,Aitzbitarte III interior – VI,NA,NA,NA,NA,16613,2622,0.15782820682598,EUP,M Gravettian,NA,6.9,298,6.87392210491998,15.1908811115548,-27.0666994790141,43.2627777777778
15,Aitzbitarte IV,3,Aitzbitarte IV 3,NA,NA,NA,NA,NA,332,NA,Solutrean,Solutrean,NA,13.1,298,6.87392210491998,15.1908811115548,-27.0666994790141,43.2627777777778
16,Aitzbitarte IV,I inferior,Aitzbitarte IV I inferior,NA,NA,NA,NA,NA,125,NA,U Magdalenian,U Magdalenian,NA,23.2,298,6.87392210491998,15.1908811115548,-27.0666994790141,43.2627777777778
17,Aitzbitarte IV,II,Aitzbitarte IV II,NA,NA,NA,NA,NA,208,NA,U Magdalenian,U Magdalenian,NA,22.1,298,6.87392210491998,15.1908811115548,-2.51441517268904,43.2627777777778
18,Altamira,1924,Altamira 1924,NA,NA,NA,NA,NA,215,NA,LM Magdalenian,LM Magdalenian,NA,0.5,148,3.76498213410917,9.91390956787331,-4.11611,43.3825
19,Altamira,1981,Altamira 1981,NA,NA,NA,NA,NA,106,NA,LM Magdalenian,LM Magdalenian,NA,7.6,148,3.76498213410917,9.91390956787331,-4.11611,43.3825
20,Altamira,lower,Altamira lower,NA,NA,NA,NA,NA,522,NA,Solutrean,Solutrean,NA,0.2,148,3.76498213410917,9.91390956787331,-4.11611,43.3825
21,Amalda,IV,Amalda IV,NA,NA,NA,NA,NA,518,NA,Solutrean,Solutrean,NA,42.7,205,7,0,NA,NA
22,Amalda,V,Amalda V,NA,NA,NA,NA,NA,102,NA,EUP,Gravettian,37.25,NA,207,9,0,NA,NA
23,Amalda,VI,Amalda VI,NA,NA,NA,NA,NA,280,NA,EUP,Gravettian,8.87,NA,310,6.86683732163138,16.6343182902283,-2.2,43.23
24,Balmori,D1+E1,Balmori D1+E1,1.5,0.17,0.255,325.490196078431,83,29,0.349397590361446,Asturian,Asturian,NA,0.173,29,1.55771847584407,9.83062302541115,-4.83098,43.42088
25,Bolinkoba,(LGS) IV (=D),Bolinkoba  (LGS) IV (=D),NA,NA,NA,NA,NA,527,NA,Solutrean,Solutrean,NA,5.7,611,26.8736173884145,38.8016970541425,-2.63404,43.12611
26,Bolinkoba,(LGS) V (=E),Bolinkoba (LGS) V (=E),NA,NA,NA,NA,NA,195,NA,Solutrean,Solutrean,NA,5.1,611,26.8736173884145,38.8016970541425,-2.63404,43.12611
27,Bolinkoba,(MMcC) IV (=D),Bolinkoba (MMcC) IV (=D),1.5,0.2,0.3,6556.66666666667,1967,438,0.222674123029995,EUP,Grv/Noai,13.01,0.075,611,26.8736173884145,38.8016970541425,-2.63404,43.12611
28,Bolinkoba,(MMcC) V (=E),Bolinkoba (MMcC) V (=E),1.5,0.15,0.225,3386.66666666667,762,211,0.276902887139108,EUP,Gravettian/Noai,10.9,0.076,611,26.8736173884145,38.8016970541425,-2.63404,43.12611
29,Bolinkoba,(MMcC) VI (=F),Bolinkoba (MMcC) VI (=F),1.5,0.4,0.6,6011.66666666667,3607,714,0.197948433601331,EUP,Gravettian/Noai,8.68,0.069,611,26.8736173884145,38.8016970541425,-2.63404,43.12611
30,Bricia,C-E,Bricia C-E,NA,NA,NA,NA,NA,51,NA,U Magdalenian,U Magdalenian,NA,NA,30,1.74476897657877,10.3497309214086,-4.85349,43.42556
31,Chufín,Solutrean,Chufín Solutrean,NA,NA,NA,NA,NA,272,NA,Solutrean,Solutrean,NA,9.9,138,9.79203469461197,16.9102610028707,-7.34833693700559,43.2922222222222
32,Coberizas,2 + 3,Coberizas 2 + 3,NA,NA,NA,NA,NA,NA,NA,Asturian,Asturian,NA,NA,34,1.72059731873268,11.0104101560302,-4.87904,43.42833
33,Cova Rosa,Solutrean,Cova Rosa Solutrean,6,1.5,9,98.654,888,217,0.244400745140705,Solutrean,Solutrean,NA,3.2,255,3.82328758510608,10.9038488103419,-5.13043,43.445
34,Cueto de la Mina,B,Cueto de la Mina B,NA,NA,NA,NA,NA,191,NA,U Magdalenian,U Magdalenian,NA,4.2,30,1.74476897657877,10.3497309214086,-4.85349,43.42556
35,Cueto de la Mina,C,Cueto de la Mina C,NA,NA,NA,NA,NA,205,NA,LM Magdalenian,LM Magdalenian,NA,5.4,30,1.74476897657877,10.3497309214086,-4.85349,43.42556
36,Cueto de la Mina,D,Cueto de la Mina D,NA,NA,NA,NA,NA,417,NA,LM Magdalenian,LM Magdalenian,NA,4.8,30,1.74476897657877,10.3497309214086,-4.85349,43.42556
